,FactorA,FactorB,Group1,Group2
1,Low,Very Low,6.851828,3.061329
2,Medium,Very Low,7.352169,1.303077
3,High,Very Low,6.918091,2.477875
4,Low,Low,7.402351,2.450527
5,Medium,Low,6.928385,4.334323
6,High,Low,7.400626,3.074158
7,Low,Medium,8.312145,5.725185
8,Medium,Medium,8.251806,4.384492
9,High,Medium,8.339398,3.443789
10,Low,High,5.127386,2.868952
11,Medium,High,8.561181,3.616898
12,High,High,6.993838,3.450634
13,Low,Very High,7.880877,2.950622
14,Medium,Very High,9.439892,3.220295
15,High,Very High,8.799447,3.10606
